RANK,CHANNEL INFO,INFLUENCE SCORE,POSTS,FOLLOWES,AVG LIKES,60 DAY ENG RATE,NEW POST AVG LIKE,TOTAL LIKES,COUNTRY
1,cristiano,92,3.3k,475.8m,8.7m,1.39%,6.5m,29.0b,Spain
2,kyliejenner,91,6.9k,366.2m,8.3m,1.62%,5.9m,57.4b,United States
3,leomessi,90,0.89k,357.3m,6.8m,1.24%,4.4m,6.0b,
4,selenagomez,93,1.8k,342.7m,6.2m,0.97%,3.3m,11.5b,United States
5,therock,91,6.8k,334.1m,1.9m,0.20%,665.3k,12.5b,United States
6,kimkardashian,91,5.6k,329.2m,3.5m,0.88%,2.9m,19.9b,United States
7,arianagrande,92,5.0k,327.7m,3.7m,1.20%,3.9m,18.4b,United States
8,beyonce,92,2.0k,272.8m,3.6m,0.76%,2.0m,7.4b,United States
9,khloekardashian,89,4.1k,268.3m,2.4m,0.35%,926.9k,9.8b,United States
10,justinbieber,91,7.4k,254.5m,1.9m,0.59%,1.5m,13.9b,Canada
